trip_distance,fare_amount,tip_amount,total_amount,passenger_count,payment_type,pickup_datetime,dropoff_datetime
19.9,54.5,11.15,66.95,1,1,2018-01-15 21:58:42.000000 UTC,2018-01-15 22:33:18.000000 UTC
20.6,54.5,11.15,66.95,1,1,2018-01-07 02:36:31.000000 UTC,2018-01-07 03:05:14.000000 UTC
19.9,54.5,11.15,66.95,1,1,2018-01-26 23:49:31.000000 UTC,2018-01-27 00:18:47.000000 UTC
18.5,54.5,16.55,71.85,1,1,2018-01-16 14:10:16.000000 UTC,2018-01-16 15:02:40.000000 UTC
5.32,109,0,109.8,1,2,2018-01-03 17:58:53.000000 UTC,2018-01-03 18:25:07.000000 UTC
35.3,109,20,154.32,1,1,2018-01-12 18:10:07.000000 UTC,2018-01-12 19:16:05.000000 UTC
21.09,109,27.98,139.92,1,1,2018-01-05 02:15:07.000000 UTC,2018-01-05 02:44:48.000000 UTC
26.91,109,15,124.8,2,1,2018-01-23 09:24:50.000000 UTC,2018-01-23 10:18:18.000000 UTC
11.1,35.5,5,47.56,1,1,2018-01-24 21:59:35.000000 UTC,2018-01-24 22:33:46.000000 UTC
11.6,35.5,5,47.56,1,1,2018-01-24 20:39:10.000000 UTC,2018-01-24 21:07:56.000000 UTC
12,35.5,5,47.56,1,1,2018-01-07 19:48:53.000000 UTC,2018-01-07 20:16:49.000000 UTC
11.14,35.5,12.92,55.98,1,1,2018-01-19 16:43:37.000000 UTC,2018-01-19 17:23:35.000000 UTC
11.23,35.5,12.92,55.98,1,1,2018-01-25 18:35:04.000000 UTC,2018-01-25 19:11:21.000000 UTC
10.7,35.5,12.92,55.98,2,1,2018-01-11 17:23:20.000000 UTC,2018-01-11 18:09:00.000000 UTC
11.7,35.5,2,38.8,1,1,2018-01-30 20:26:57.000000 UTC,2018-01-30 20:59:25.000000 UTC
12.6,35.5,2,38.8,2,1,2018-01-14 21:50:59.000000 UTC,2018-01-14 22:17:21.000000 UTC
11.89,35.5,10.76,53.82,2,1,2018-01-23 18:01:08.000000 UTC,2018-01-23 18:32:27.000000 UTC
12.38,35.5,10.76,53.82,2,1,2018-01-23 17:46:09.000000 UTC,2018-01-23 18:15:31.000000 UTC
10.64,35.5,10.76,53.82,1,1,2018-01-19 18:15:12.000000 UTC,2018-01-19 18:54:29.000000 UTC
11.31,35.5,10.76,53.82,1,1,2018-01-16 16:15:00.000000 UTC,2018-01-16 16:56:32.000000 UTC
10.54,35.5,10.76,53.82,1,1,2018-01-25 16:19:33.000000 UTC,2018-01-25 17:05:35.000000 UTC
11.21,35.5,10.76,53.82,1,1,2018-01-08 16:31:53.000000 UTC,2018-01-08 17:11:07.000000 UTC
12.03,35.5,3,45.06,1,1,2018-01-28 13:20:46.000000 UTC,2018-01-28 13:50:52.000000 UTC
11.7,35.5,3,45.06,1,1,2018-01-18 07:01:56.000000 UTC,2018-01-18 07:32:07.000000 UTC
11.22,35.5,3,45.06,1,1,2018-01-16 13:33:47.000000 UTC,2018-01-16 14:08:40.000000 UTC
11.5,35.5,3,45.06,1,1,2018-01-20 16:51:03.000000 UTC,2018-01-20 17:27:47.000000 UTC
12.5,35.5,3,45.06,2,1,2018-01-08 13:59:35.000000 UTC,2018-01-08 14:18:24.000000 UTC
10.4,35.5,3,45.06,1,1,2018-01-09 13:58:35.000000 UTC,2018-01-09 14:38:57.000000 UTC
10.7,35.5,8.6,51.66,1,1,2018-01-11 17:00:27.000000 UTC,2018-01-11 17:46:51.000000 UTC
9.3,35.5,8.6,51.66,2,1,2018-01-19 15:56:10.000000 UTC,2018-01-19 16:42:11.000000 UTC
10.1,35.5,8.6,51.66,1,1,2018-01-23 18:13:05.000000 UTC,2018-01-23 18:50:46.000000 UTC
10.4,35.5,8.6,51.66,1,1,2018-01-19 16:47:36.000000 UTC,2018-01-19 17:34:31.000000 UTC
11,35.5,8.6,51.66,1,1,2018-01-03 18:29:12.000000 UTC,2018-01-03 19:02:50.000000 UTC
10.8,35.5,8.6,51.66,1,1,2018-01-19 19:28:01.000000 UTC,2018-01-19 20:03:23.000000 UTC
9.3,35.5,8.6,51.66,2,1,2018-01-10 16:58:53.000000 UTC,2018-01-10 17:46:15.000000 UTC
11.2,35.5,8.6,51.66,1,1,2018-01-16 18:02:38.000000 UTC,2018-01-16 18:34:59.000000 UTC
10.2,35.5,8.6,51.66,2,1,2018-01-19 16:01:55.000000 UTC,2018-01-19 16:47:15.000000 UTC
10.8,35.5,8.6,51.66,1,1,2018-01-16 16:30:08.000000 UTC,2018-01-16 17:10:47.000000 UTC
12.7,35.5,8.6,51.66,2,1,2018-01-02 19:13:55.000000 UTC,2018-01-02 19:39:43.000000 UTC
9.9,35.5,8.6,51.66,1,1,2018-01-24 16:13:36.000000 UTC,2018-01-24 16:54:00.000000 UTC
12.3,35.5,8.6,51.66,1,1,2018-01-25 18:38:22.000000 UTC,2018-01-25 19:09:38.000000 UTC
9.9,35.5,8.6,51.66,1,1,2018-01-11 18:24:46.000000 UTC,2018-01-11 19:10:31.000000 UTC
9.4,35.5,8.6,51.66,1,1,2018-01-25 15:56:13.000000 UTC,2018-01-25 16:42:51.000000 UTC
10.69,35.5,0,36.3,1,2,2018-01-13 19:01:15.000000 UTC,2018-01-13 19:38:29.000000 UTC
10.5,35.5,0,36.3,1,2,2018-01-17 15:35:42.000000 UTC,2018-01-17 16:15:22.000000 UTC
12.29,35.5,0,36.3,2,2,2018-01-01 18:10:16.000000 UTC,2018-01-01 18:37:41.000000 UTC
9.71,35.5,0,36.3,2,2,2018-01-11 13:05:14.000000 UTC,2018-01-11 13:49:56.000000 UTC
10.54,35.5,0,36.3,1,1,2018-01-12 08:13:05.000000 UTC,2018-01-12 08:50:55.000000 UTC
9.66,35.5,0,36.3,1,2,2018-01-12 13:06:14.000000 UTC,2018-01-12 13:49:37.000000 UTC
7.23,35.5,0,36.3,1,1,2018-01-26 15:22:02.000000 UTC,2018-01-26 16:14:56.000000 UTC
11.32,35.5,0,36.3,1,2,2018-01-20 10:15:22.000000 UTC,2018-01-20 10:49:45.000000 UTC
11.84,35.5,0,36.3,1,2,2018-01-28 19:54:44.000000 UTC,2018-01-28 20:23:08.000000 UTC
10.6,35.5,0,36.3,1,2,2018-01-13 13:22:49.000000 UTC,2018-01-13 13:56:45.000000 UTC
10,35.5,0,36.3,2,2,2018-01-23 11:49:59.000000 UTC,2018-01-23 12:30:32.000000 UTC
11.73,35.5,0,36.3,1,1,2018-01-07 09:37:53.000000 UTC,2018-01-07 10:06:49.000000 UTC
12.66,35.5,0,36.3,1,2,2018-01-01 15:51:48.000000 UTC,2018-01-01 16:18:08.000000 UTC
11.27,35.5,0,36.3,1,2,2018-01-14 13:59:33.000000 UTC,2018-01-14 14:34:02.000000 UTC
12.77,35.5,0,36.3,2,2,2018-01-15 09:26:51.000000 UTC,2018-01-15 09:50:21.000000 UTC
11.5,35.5,0,36.3,3,2,2018-01-10 15:07:23.000000 UTC,2018-01-10 15:45:06.000000 UTC
11.5,35.5,0,36.3,2,2,2018-01-27 15:09:10.000000 UTC,2018-01-27 15:47:31.000000 UTC
8.88,35.5,0,36.3,2,2,2018-01-28 17:38:40.000000 UTC,2018-01-28 18:23:31.000000 UTC
7.82,35.5,0,36.3,1,1,2018-01-23 13:50:54.000000 UTC,2018-01-23 14:40:16.000000 UTC
12.03,35.5,0,36.3,2,2,2018-01-01 12:30:58.000000 UTC,2018-01-01 13:01:53.000000 UTC
10.6,35.5,0,36.3,1,2,2018-01-01 14:11:46.000000 UTC,2018-01-01 14:47:07.000000 UTC
11.66,35.5,0,36.3,1,2,2018-01-21 10:38:18.000000 UTC,2018-01-21 11:10:02.000000 UTC
9.4,35.5,0,36.3,1,2,2018-01-31 13:07:24.000000 UTC,2018-01-31 13:46:11.000000 UTC
11.47,35.5,0,36.3,5,1,2018-01-28 19:03:53.000000 UTC,2018-01-28 19:37:03.000000 UTC
11.9,35.5,0,36.3,2,2,2018-01-22 08:01:34.000000 UTC,2018-01-22 08:35:02.000000 UTC
11.13,35.5,0,36.3,1,2,2018-01-15 13:23:41.000000 UTC,2018-01-15 14:00:42.000000 UTC
